setoran_id,santri_id,tanggal,jenis,surah,juz,jumlah_ayat,kualitas,musyrif
ST00084,S002,2025-01-21,Ziyadah,Al-Baqarah,1,5,Kurang Lancar,Ust. Hafiz
ST00085,S002,2025-01-25,Murajaah,Al-Baqarah,1,19,Lancar,Ust. Hafiz
ST00086,S002,2025-01-27,Murajaah,Al-Baqarah,1,6,Perlu Diulang,Ust. Hafiz
ST00087,S002,2025-01-28,Murajaah,Al-Fatihah,1,11,Kurang Lancar,Ust. Hafiz
ST00088,S002,2025-01-29,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Hafiz
ST00089,S002,2025-01-30,Murajaah,Al-Fatihah,1,20,Lancar,Ust. Hafiz
ST00090,S002,2025-02-01,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Hafiz
ST00091,S002,2025-02-02,Ziyadah,Al-Baqarah,1,5,Kurang Lancar,Ust. Hafiz
ST00092,S002,2025-02-04,Murajaah,Al-Baqarah,1,9,Kurang Lancar,Ust. Hafiz
ST00093,S002,2025-02-05,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Hafiz
ST00094,S002,2025-02-09,Murajaah,Al-Baqarah,1,14,Lancar,Ust. Hafiz
ST00095,S002,2025-02-10,Murajaah,Al-Fatihah,1,19,Lancar,Ust. Hafiz
ST00096,S002,2025-02-15,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Hafiz
ST00097,S002,2025-02-16,Murajaah,Al-Fatihah,1,13,Kurang Lancar,Ust. Hafiz
ST00098,S002,2025-02-17,Murajaah,Al-Baqarah,1,19,Lancar,Ust. Hafiz
ST00099,S002,2025-02-20,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Hafiz
ST00100,S002,2025-02-22,Ziyadah,Al-Baqarah,1,2,Lancar,Ust. Hafiz
ST00101,S002,2025-02-24,Murajaah,Al-Baqarah,1,6,Lancar,Ust. Hafiz
ST00102,S002,2025-02-25,Ziyadah,Al-Baqarah,1,4,Kurang Lancar,Ust. Hafiz
ST00103,S002,2025-02-27,Murajaah,Al-Baqarah,1,19,Lancar,Ust. Hafiz
ST00104,S002,2025-03-01,Murajaah,Al-Baqarah,1,20,Lancar,Ust. Hafiz
ST00105,S002,2025-03-02,Ziyadah,Al-Baqarah,1,2,Perlu Diulang,Ust. Hafiz
ST00106,S002,2025-03-03,Murajaah,Al-Fatihah,1,8,Perlu Diulang,Ust. Hafiz
ST00107,S002,2025-03-05,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Hafiz
ST00108,S002,2025-03-06,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Hafiz
ST00109,S002,2025-03-08,Murajaah,Al-Baqarah,1,20,Lancar,Ust. Hafiz
ST00110,S002,2025-03-10,Murajaah,Al-Baqarah,1,20,Lancar,Ust. Hafiz
ST00111,S002,2025-03-11,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Hafiz
ST00112,S002,2025-03-15,Murajaah,Al-Baqarah,1,18,Perlu Diulang,Ust. Hafiz
ST00113,S002,2025-03-16,Murajaah,Al-Baqarah,1,14,Lancar,Ust. Hafiz
ST00114,S002,2025-03-19,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Hafiz
ST00115,S002,2025-03-20,Murajaah,Al-Baqarah,1,17,Perlu Diulang,Ust. Hafiz
ST00116,S002,2025-03-24,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Hafiz
ST00117,S002,2025-03-29,Murajaah,Al-Baqarah,1,9,Perlu Diulang,Ust. Hafiz
ST00118,S002,2025-03-30,Murajaah,Al-Baqarah,1,15,Lancar,Ust. Hafiz
ST00119,S002,2025-04-01,Murajaah,Al-Baqarah,1,5,Lancar,Ust. Hafiz
ST00120,S002,2025-04-05,Murajaah,Al-Baqarah,1,13,Lancar,Ust. Hafiz
ST00121,S002,2025-04-06,Ziyadah,Al-Baqarah,1,3,Kurang Lancar,Ust. Hafiz
ST00122,S002,2025-04-08,Ziyadah,Al-Baqarah,1,4,Kurang Lancar,Ust. Hafiz
ST00123,S002,2025-04-09,Ziyadah,Al-Baqarah,1,3,Perlu Diulang,Ust. Hafiz
ST00124,S002,2025-04-12,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Hafiz
ST00125,S002,2025-04-15,Murajaah,Al-Baqarah,1,14,Lancar,Ust. Hafiz
ST00126,S002,2025-04-16,Murajaah,Al-Baqarah,1,10,Lancar,Ust. Hafiz
ST00127,S002,2025-04-19,Murajaah,Al-Baqarah,1,20,Lancar,Ust. Hafiz
ST00128,S002,2025-04-21,Murajaah,Al-Baqarah,1,19,Kurang Lancar,Ust. Hafiz
ST00129,S002,2025-04-22,Murajaah,Al-Baqarah,1,16,Lancar,Ust. Hafiz
ST00130,S002,2025-04-23,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Hafiz
ST00131,S002,2025-04-24,Murajaah,Al-Baqarah,1,12,Lancar,Ust. Hafiz
ST00132,S002,2025-04-28,Murajaah,Al-Baqarah,1,17,Lancar,Ust. Hafiz
ST00133,S002,2025-05-08,Murajaah,Al-Baqarah,1,12,Lancar,Ust. Hafiz
ST00134,S002,2025-05-18,Murajaah,Al-Baqarah,1,16,Lancar,Ust. Hafiz
ST00135,S002,2025-05-19,Murajaah,Al-Baqarah,1,10,Lancar,Ust. Hafiz
ST00136,S002,2025-05-20,Murajaah,Al-Baqarah,1,13,Lancar,Ust. Hafiz
ST00137,S002,2025-05-22,Murajaah,Al-Baqarah,1,15,Lancar,Ust. Hafiz
ST00138,S002,2025-05-24,Murajaah,Al-Baqarah,1,12,Perlu Diulang,Ust. Hafiz
ST00139,S002,2025-05-26,Murajaah,Al-Baqarah,1,5,Lancar,Ust. Hafiz
ST00140,S002,2025-05-27,Murajaah,Al-Baqarah,1,13,Lancar,Ust. Hafiz
ST00141,S002,2025-05-29,Murajaah,Al-Fatihah,1,20,Lancar,Ust. Hafiz
ST00142,S002,2025-06-01,Murajaah,Al-Baqarah,1,7,Perlu Diulang,Ust. Hafiz
ST00143,S002,2025-06-02,Murajaah,Al-Fatihah,1,9,Perlu Diulang,Ust. Hafiz
ST00144,S002,2025-06-03,Murajaah,Al-Baqarah,1,8,Kurang Lancar,Ust. Hafiz
ST00145,S002,2025-06-04,Murajaah,Al-Baqarah,1,18,Kurang Lancar,Ust. Hafiz
ST00146,S002,2025-06-05,Murajaah,Al-Baqarah,1,8,Lancar,Ust. Hafiz
ST00147,S002,2025-06-08,Murajaah,Al-Baqarah,1,11,Lancar,Ust. Hafiz
ST00148,S002,2025-06-09,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Hafiz
ST00149,S002,2025-06-11,Ziyadah,Al-Baqarah,1,2,Perlu Diulang,Ust. Hafiz
ST00150,S002,2025-06-15,Ziyadah,Al-Baqarah,1,5,Perlu Diulang,Ust. Hafiz
ST00151,S002,2025-06-16,Ziyadah,Al-Baqarah,1,2,Kurang Lancar,Ust. Hafiz
ST00152,S002,2025-06-17,Murajaah,Al-Baqarah,1,11,Lancar,Ust. Hafiz
ST00153,S002,2025-06-19,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Hafiz
ST00154,S002,2025-06-22,Ziyadah,Al-Baqarah,1,3,Kurang Lancar,Ust. Hafiz
ST00155,S002,2025-06-23,Murajaah,Al-Fatihah,1,9,Lancar,Ust. Hafiz
ST00156,S002,2025-06-26,Ziyadah,Al-Baqarah,1,2,Kurang Lancar,Ust. Hafiz
ST00157,S002,2025-06-28,Murajaah,Al-Baqarah,1,20,Kurang Lancar,Ust. Hafiz
ST00158,S002,2025-06-29,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Hafiz
ST00159,S002,2025-07-05,Murajaah,Al-Baqarah,1,5,Perlu Diulang,Ust. Hafiz
ST00160,S002,2025-07-07,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Hafiz
ST00161,S002,2025-07-08,Murajaah,Al-Baqarah,1,7,Lancar,Ust. Hafiz
ST00162,S002,2025-07-10,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Hafiz
ST00163,S002,2025-07-12,Murajaah,Al-Baqarah,1,8,Kurang Lancar,Ust. Hafiz
ST00164,S002,2025-07-17,Murajaah,Al-Baqarah,1,12,Lancar,Ust. Hafiz
ST00165,S002,2025-07-19,Murajaah,Al-Baqarah,1,8,Lancar,Ust. Hafiz
ST00166,S002,2025-07-21,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Hafiz
ST00167,S002,2025-07-23,Ziyadah,Al-Baqarah,1,3,Kurang Lancar,Ust. Hafiz
ST00168,S002,2025-07-28,Ziyadah,Al-Baqarah,1,3,Kurang Lancar,Ust. Hafiz
ST00169,S003,2025-05-24,Murajaah,Al-Fatihah,1,6,Lancar,Ust. Fauzan
ST00170,S003,2025-05-25,Murajaah,Al-Fatihah,1,11,Kurang Lancar,Ust. Fauzan
ST00171,S003,2025-05-26,Ziyadah,Al-Fatihah,1,5,Lancar,Ust. Fauzan
ST00172,S003,2025-05-27,Murajaah,Al-Fatihah,1,18,Perlu Diulang,Ust. Fauzan
ST00173,S003,2025-05-28,Murajaah,Al-Fatihah,1,5,Perlu Diulang,Ust. Fauzan
ST00174,S003,2025-05-29,Ziyadah,Al-Fatihah,1,2,Lancar,Ust. Fauzan
ST00175,S003,2025-05-31,Murajaah,Al-Fatihah,1,16,Lancar,Ust. Fauzan
ST00176,S003,2025-06-01,Murajaah,Al-Fatihah,1,7,Kurang Lancar,Ust. Fauzan
ST00177,S003,2025-06-03,Murajaah,Al-Fatihah,1,17,Lancar,Ust. Fauzan
ST00178,S003,2025-06-04,Ziyadah,Al-Baqarah,1,3,Kurang Lancar,Ust. Fauzan
ST00179,S003,2025-06-05,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Fauzan
ST00180,S003,2025-06-07,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Fauzan
ST00181,S003,2025-06-08,Murajaah,Al-Fatihah,1,19,Lancar,Ust. Fauzan
ST00182,S003,2025-06-09,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Fauzan
ST00183,S003,2025-06-10,Murajaah,Al-Fatihah,1,14,Lancar,Ust. Fauzan
ST00184,S003,2025-06-12,Ziyadah,Al-Baqarah,1,2,Kurang Lancar,Ust. Fauzan
ST00185,S003,2025-06-14,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Fauzan
ST00186,S003,2025-06-15,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Fauzan
ST00187,S003,2025-06-16,Murajaah,Al-Fatihah,1,16,Lancar,Ust. Fauzan
ST00188,S003,2025-06-17,Murajaah,Al-Fatihah,1,19,Kurang Lancar,Ust. Fauzan
ST00189,S003,2025-06-18,Murajaah,Al-Baqarah,1,18,Lancar,Ust. Fauzan
ST00190,S003,2025-06-19,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Fauzan
ST00191,S003,2025-06-21,Ziyadah,Al-Baqarah,1,4,Kurang Lancar,Ust. Fauzan
ST00192,S003,2025-06-22,Murajaah,Al-Baqarah,1,7,Kurang Lancar,Ust. Fauzan
ST00193,S003,2025-06-23,Ziyadah,Al-Baqarah,1,2,Lancar,Ust. Fauzan
ST00194,S003,2025-06-24,Murajaah,Al-Baqarah,1,11,Lancar,Ust. Fauzan
ST00195,S003,2025-06-26,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Fauzan
ST00196,S003,2025-06-28,Murajaah,Al-Baqarah,1,7,Perlu Diulang,Ust. Fauzan
ST00197,S003,2025-06-29,Murajaah,Al-Baqarah,1,19,Kurang Lancar,Ust. Fauzan
ST00198,S003,2025-06-30,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Fauzan
ST00199,S003,2025-07-01,Murajaah,Al-Baqarah,1,6,Lancar,Ust. Fauzan
ST00200,S003,2025-07-02,Murajaah,Al-Baqarah,1,6,Kurang Lancar,Ust. Fauzan
ST00201,S003,2025-07-03,Murajaah,Al-Baqarah,1,7,Lancar,Ust. Fauzan
ST00202,S003,2025-07-05,Murajaah,Al-Baqarah,1,6,Perlu Diulang,Ust. Fauzan
ST00203,S003,2025-07-06,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Fauzan
ST00204,S003,2025-07-07,Ziyadah,Al-Baqarah,1,1,Kurang Lancar,Ust. Fauzan
ST00205,S003,2025-07-08,Murajaah,Al-Baqarah,1,7,Lancar,Ust. Fauzan
ST00206,S003,2025-07-09,Murajaah,Al-Baqarah,1,19,Lancar,Ust. Fauzan
ST00207,S003,2025-07-10,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Fauzan
ST00208,S003,2025-07-12,Murajaah,Al-Baqarah,1,6,Lancar,Ust. Fauzan
ST00209,S003,2025-07-13,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Fauzan
ST00210,S003,2025-07-14,Murajaah,Al-Baqarah,1,9,Lancar,Ust. Fauzan
ST00211,S003,2025-07-15,Murajaah,Al-Baqarah,1,14,Kurang Lancar,Ust. Fauzan
ST00212,S003,2025-07-16,Murajaah,Al-Baqarah,1,7,Lancar,Ust. Fauzan
ST00213,S003,2025-07-17,Ziyadah,Al-Baqarah,1,2,Kurang Lancar,Ust. Fauzan
ST00214,S003,2025-07-19,Murajaah,Al-Baqarah,1,7,Kurang Lancar,Ust. Fauzan
ST00215,S003,2025-07-20,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Fauzan
ST00216,S003,2025-07-21,Murajaah,Al-Baqarah,1,20,Lancar,Ust. Fauzan
ST00217,S003,2025-07-22,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Fauzan
ST00218,S003,2025-07-23,Murajaah,Al-Baqarah,1,6,Lancar,Ust. Fauzan
ST00219,S003,2025-07-24,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Fauzan
ST00220,S003,2025-07-26,Murajaah,Al-Baqarah,1,10,Lancar,Ust. Fauzan
ST00221,S003,2025-07-27,Murajaah,Al-Baqarah,1,12,Lancar,Ust. Fauzan
ST00222,S003,2025-07-28,Murajaah,Al-Baqarah,1,12,Lancar,Ust. Fauzan
ST00223,S003,2025-07-30,Murajaah,Al-Baqarah,1,11,Kurang Lancar,Ust. Fauzan
ST00224,S003,2025-07-31,Murajaah,Al-Baqarah,1,14,Lancar,Ust. Fauzan
ST00225,S003,2025-08-02,Murajaah,Al-Baqarah,1,11,Lancar,Ust. Fauzan
ST00226,S003,2025-08-03,Ziyadah,Al-Baqarah,1,4,Kurang Lancar,Ust. Fauzan
ST00227,S003,2025-08-04,Ziyadah,Al-Baqarah,1,5,Kurang Lancar,Ust. Fauzan
ST00228,S003,2025-08-05,Murajaah,Al-Baqarah,1,13,Perlu Diulang,Ust. Fauzan
ST00229,S003,2025-08-06,Murajaah,Al-Baqarah,1,12,Kurang Lancar,Ust. Fauzan
ST00230,S003,2025-08-09,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Fauzan
ST00231,S003,2025-08-11,Ziyadah,Al-Baqarah,1,1,Kurang Lancar,Ust. Fauzan
ST00232,S003,2025-08-12,Murajaah,Al-Fatihah,1,9,Lancar,Ust. Fauzan
ST00233,S003,2025-08-13,Murajaah,Al-Baqarah,1,9,Lancar,Ust. Fauzan
ST00234,S003,2025-08-14,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Fauzan
ST00235,S003,2025-08-16,Murajaah,Al-Baqarah,1,18,Kurang Lancar,Ust. Fauzan
ST00236,S003,2025-08-17,Ziyadah,Al-Baqarah,1,2,Lancar,Ust. Fauzan
ST00237,S003,2025-08-18,Murajaah,Al-Baqarah,1,8,Lancar,Ust. Fauzan
ST00238,S003,2025-08-19,Murajaah,Al-Baqarah,1,12,Lancar,Ust. Fauzan
ST00239,S003,2025-08-20,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Fauzan
ST00240,S003,2025-08-21,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Fauzan
ST00241,S003,2025-08-23,Murajaah,Al-Baqarah,1,5,Kurang Lancar,Ust. Fauzan
ST00242,S003,2025-08-24,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Fauzan
ST00243,S003,2025-08-25,Murajaah,Al-Baqarah,1,16,Kurang Lancar,Ust. Fauzan
ST00244,S003,2025-08-26,Murajaah,Al-Baqarah,1,15,Lancar,Ust. Fauzan
ST00245,S003,2025-08-27,Murajaah,Al-Baqarah,1,10,Lancar,Ust. Fauzan
ST00246,S003,2025-08-28,Murajaah,Al-Baqarah,1,9,Kurang Lancar,Ust. Fauzan
ST00247,S003,2025-08-31,Ziyadah,Al-Baqarah,1,2,Kurang Lancar,Ust. Fauzan
ST00248,S003,2025-09-01,Ziyadah,Al-Baqarah,1,4,Perlu Diulang,Ust. Fauzan
ST00249,S003,2025-09-02,Ziyadah,Al-Baqarah,1,2,Lancar,Ust. Fauzan
ST00250,S003,2025-09-03,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Fauzan
ST00251,S003,2025-09-04,Murajaah,Al-Baqarah,1,17,Lancar,Ust. Fauzan
ST00252,S003,2025-09-07,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Fauzan
ST00253,S003,2025-09-08,Ziyadah,Al-Baqarah,1,1,Kurang Lancar,Ust. Fauzan
ST00254,S003,2025-09-09,Murajaah,Al-Baqarah,1,10,Lancar,Ust. Fauzan
ST00255,S003,2025-09-10,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Fauzan
ST00256,S003,2025-09-11,Murajaah,Al-Baqarah,1,19,Lancar,Ust. Fauzan
ST00257,S003,2025-09-13,Murajaah,Al-Baqarah,1,18,Lancar,Ust. Fauzan
ST00258,S003,2025-09-14,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Fauzan
ST00259,S003,2025-09-15,Murajaah,Al-Baqarah,1,5,Kurang Lancar,Ust. Fauzan
ST00260,S003,2025-09-16,Murajaah,Al-Baqarah,1,9,Lancar,Ust. Fauzan
ST00261,S003,2025-09-17,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Fauzan
ST00262,S003,2025-09-18,Murajaah,Al-Baqarah,1,16,Lancar,Ust. Fauzan
ST00263,S003,2025-09-20,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Fauzan
ST00264,S003,2025-09-21,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Fauzan
ST00265,S003,2025-09-22,Murajaah,Al-Baqarah,1,8,Kurang Lancar,Ust. Fauzan
ST00266,S003,2025-09-23,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Fauzan
ST00267,S003,2025-09-24,Murajaah,Al-Baqarah,1,8,Kurang Lancar,Ust. Fauzan
ST00268,S003,2025-09-25,Murajaah,Al-Baqarah,1,19,Kurang Lancar,Ust. Fauzan
ST00269,S003,2025-09-29,Murajaah,Al-Baqarah,1,14,Lancar,Ust. Fauzan
ST00270,S003,2025-09-30,Murajaah,Al-Baqarah,1,10,Lancar,Ust. Fauzan
ST00271,S003,2025-10-01,Murajaah,Al-Baqarah,1,9,Kurang Lancar,Ust. Fauzan
ST00272,S003,2025-10-02,Murajaah,Al-Baqarah,1,16,Kurang Lancar,Ust. Fauzan
ST00273,S003,2025-10-04,Murajaah,Al-Baqarah,1,7,Lancar,Ust. Fauzan
